Performing stepwise search to minimize aic
 ARIMA(2,0,2)(0,0,0)[0]             : AIC=287.780, Time=0.03 sec
 ARIMA(0,0,0)(0,0,0)[0]             : AIC=578.790, Time=0.00 sec
 ARIMA(1,0,0)(0,0,0)[0]             : AIC=282.904, Time=0.00 sec
 ARIMA(0,0,1)(0,0,0)[0]             : AIC=471.930, Time=0.00 sec
 ARIMA(2,0,0)(0,0,0)[0]             : AIC=284.690, Time=0.01 sec
 ARIMA(1,0,1)(0,0,0)[0]             : AIC=284.659, Time=0.01 sec
 ARIMA(2,0,1)(0,0,0)[0]             : AIC=286.774, Time=0.01 sec
 ARIMA(1,0,0)(0,0,0)[0] intercept   : AIC=282.904, Time=0.00 sec

Best model:  ARIMA(1,0,0)(0,0,0)[0] intercept
Total fit time: 0.074 seconds
