Performing stepwise search to minimize aic
 ARIMA(2,0,2)(0,0,0)[0]             : AIC=289.907, Time=0.04 sec
 ARIMA(0,0,0)(0,0,0)[0]             : AIC=455.691, Time=0.01 sec
 ARIMA(1,0,0)(0,0,0)[0]             : AIC=284.637, Time=0.01 sec
 ARIMA(0,0,1)(0,0,0)[0]             : AIC=373.928, Time=0.02 sec
 ARIMA(2,0,0)(0,0,0)[0]             : AIC=286.580, Time=0.02 sec
 ARIMA(1,0,1)(0,0,0)[0]             : AIC=286.569, Time=0.02 sec
 ARIMA(2,0,1)(0,0,0)[0]             : AIC=288.443, Time=0.03 sec
 ARIMA(1,0,0)(0,0,0)[0] intercept   : AIC=284.637, Time=0.01 sec

Best model:  ARIMA(1,0,0)(0,0,0)[0]          
Total fit time: 0.150 seconds
