 ARIMA(0,0,0)(0,0,0)[0]             : AIC=578.790, Time=0.00 sec
 ARIMA(0,0,1)(0,0,0)[0]             : AIC=471.930, Time=0.00 sec
 ARIMA(0,0,2)(0,0,0)[0]             : AIC=413.931, Time=0.01 sec
 ARIMA(0,0,3)(0,0,0)[0]             : AIC=376.187, Time=0.03 sec
 ARIMA(0,0,4)(0,0,0)[0]             : AIC=inf, Time=0.03 sec
 ARIMA(0,0,5)(0,0,0)[0]             : AIC=339.598, Time=0.01 sec
 ARIMA(1,0,0)(0,0,0)[0]             : AIC=282.904, Time=0.00 sec
 ARIMA(1,0,1)(0,0,0)[0]             : AIC=284.659, Time=0.01 sec
 ARIMA(1,0,2)(0,0,0)[0]             : AIC=286.357, Time=0.01 sec
 ARIMA(1,0,3)(0,0,0)[0]             : AIC=287.247, Time=0.01 sec
 ARIMA(1,0,4)(0,0,0)[0]             : AIC=289.247, Time=0.01 sec
 ARIMA(2,0,0)(0,0,0)[0]             : AIC=284.690, Time=0.00 sec
 ARIMA(2,0,1)(0,0,0)[0]             : AIC=286.774, Time=0.01 sec
 ARIMA(2,0,2)(0,0,0)[0]             : AIC=287.780, Time=0.01 sec
 ARIMA(2,0,3)(0,0,0)[0]             : AIC=289.247, Time=0.01 sec
 ARIMA(3,0,0)(0,0,0)[0]             : AIC=286.238, Time=0.01 sec
 ARIMA(3,0,1)(0,0,0)[0]             : AIC=287.623, Time=0.01 sec
 ARIMA(3,0,2)(0,0,0)[0]             : AIC=289.501, Time=0.02 sec
 ARIMA(4,0,0)(0,0,0)[0]             : AIC=287.332, Time=0.01 sec
 ARIMA(4,0,1)(0,0,0)[0]             : AIC=289.320, Time=0.02 sec
 ARIMA(5,0,0)(0,0,0)[0]             : AIC=289.326, Time=0.01 sec

Best model:  ARIMA(1,0,0)(0,0,0)[0]          
Total fit time: 0.223 seconds
