 ARIMA(0,0,0)(0,0,0)[0]             : AIC=457.719, Time=0.00 sec
 ARIMA(0,0,1)(0,0,0)[0]             : AIC=374.685, Time=0.00 sec
 ARIMA(0,0,2)(0,0,0)[0]             : AIC=342.826, Time=0.01 sec
 ARIMA(0,0,3)(0,0,0)[0]             : AIC=324.045, Time=0.01 sec
 ARIMA(0,0,4)(0,0,0)[0]             : AIC=311.530, Time=0.01 sec
 ARIMA(0,0,5)(0,0,0)[0]             : AIC=306.705, Time=0.02 sec
 ARIMA(1,0,0)(0,0,0)[0]             : AIC=282.642, Time=0.00 sec
 ARIMA(1,0,1)(0,0,0)[0]             : AIC=284.577, Time=0.01 sec
 ARIMA(1,0,2)(0,0,0)[0]             : AIC=286.411, Time=0.01 sec
 ARIMA(1,0,3)(0,0,0)[0]             : AIC=286.953, Time=0.01 sec
 ARIMA(1,0,4)(0,0,0)[0]             : AIC=288.918, Time=0.01 sec
 ARIMA(2,0,0)(0,0,0)[0]             : AIC=284.584, Time=0.01 sec
 ARIMA(2,0,1)(0,0,0)[0]             : AIC=inf, Time=0.03 sec
 ARIMA(2,0,2)(0,0,0)[0]             : AIC=287.837, Time=0.01 sec
 ARIMA(2,0,3)(0,0,0)[0]             : AIC=288.811, Time=0.02 sec
 ARIMA(3,0,0)(0,0,0)[0]             : AIC=286.345, Time=0.01 sec
 ARIMA(3,0,1)(0,0,0)[0]             : AIC=287.702, Time=0.01 sec
 ARIMA(3,0,2)(0,0,0)[0]             : AIC=285.792, Time=0.05 sec
 ARIMA(4,0,0)(0,0,0)[0]             : AIC=287.031, Time=0.01 sec
 ARIMA(4,0,1)(0,0,0)[0]             : AIC=288.833, Time=0.02 sec
 ARIMA(5,0,0)(0,0,0)[0]             : AIC=288.946, Time=0.01 sec

Best model:  ARIMA(1,0,0)(0,0,0)[0]          
Total fit time: 0.268 seconds
