 ARIMA(0,0,0)(0,0,0)[0]             : AIC=486.627, Time=0.00 sec
 ARIMA(0,0,1)(0,0,0)[0]             : AIC=397.781, Time=0.01 sec
 ARIMA(0,0,2)(0,0,0)[0]             : AIC=359.868, Time=0.01 sec
 ARIMA(0,0,3)(0,0,0)[0]             : AIC=337.650, Time=0.02 sec
 ARIMA(0,0,4)(0,0,0)[0]             : AIC=321.817, Time=0.02 sec
 ARIMA(0,0,5)(0,0,0)[0]             : AIC=315.479, Time=0.02 sec
 ARIMA(1,0,0)(0,0,0)[0]             : AIC=284.564, Time=0.01 sec
 ARIMA(1,0,1)(0,0,0)[0]             : AIC=286.414, Time=0.01 sec
 ARIMA(1,0,2)(0,0,0)[0]             : AIC=288.179, Time=0.02 sec
 ARIMA(1,0,3)(0,0,0)[0]             : AIC=288.907, Time=0.03 sec
 ARIMA(1,0,4)(0,0,0)[0]             : AIC=291.426, Time=0.01 sec
 ARIMA(2,0,0)(0,0,0)[0]             : AIC=286.431, Time=0.01 sec
 ARIMA(2,0,1)(0,0,0)[0]             : AIC=288.389, Time=0.02 sec
 ARIMA(2,0,2)(0,0,0)[0]             : AIC=289.592, Time=0.04 sec
 ARIMA(2,0,3)(0,0,0)[0]             : AIC=290.894, Time=0.03 sec
 ARIMA(3,0,0)(0,0,0)[0]             : AIC=288.076, Time=0.03 sec
 ARIMA(3,0,1)(0,0,0)[0]             : AIC=289.844, Time=0.03 sec
 ARIMA(3,0,2)(0,0,0)[0]             : AIC=291.347, Time=0.04 sec
 ARIMA(4,0,0)(0,0,0)[0]             : AIC=288.997, Time=0.03 sec
 ARIMA(4,0,1)(0,0,0)[0]             : AIC=291.027, Time=0.04 sec
 ARIMA(5,0,0)(0,0,0)[0]             : AIC=290.966, Time=0.05 sec

Best model:  ARIMA(1,0,0)(0,0,0)[0]          
Total fit time: 0.498 seconds
