Performing stepwise search to minimize aic
 ARIMA(2,0,2)(1,0,1)[24] intercept   : AIC=inf, Time=0.32 sec
 ARIMA(0,0,0)(0,0,0)[24] intercept   : AIC=457.719, Time=0.00 sec
 ARIMA(1,0,0)(1,0,0)[24] intercept   : AIC=284.517, Time=0.06 sec
 ARIMA(0,0,1)(0,0,1)[24] intercept   : AIC=372.536, Time=0.03 sec
 ARIMA(0,0,0)(0,0,0)[24]             : AIC=457.719, Time=0.00 sec
 ARIMA(1,0,0)(0,0,0)[24] intercept   : AIC=282.642, Time=0.00 sec
 ARIMA(1,0,0)(0,0,1)[24] intercept   : AIC=284.481, Time=0.04 sec
 ARIMA(1,0,0)(1,0,1)[24] intercept   : AIC=inf, Time=0.20 sec
 ARIMA(2,0,0)(0,0,0)[24] intercept   : AIC=284.584, Time=0.01 sec
 ARIMA(1,0,1)(0,0,0)[24] intercept   : AIC=284.577, Time=0.01 sec
 ARIMA(0,0,1)(0,0,0)[24] intercept   : AIC=374.685, Time=0.00 sec
 ARIMA(2,0,1)(0,0,0)[24] intercept   : AIC=inf, Time=0.03 sec
 ARIMA(1,0,0)(0,0,0)[24]             : AIC=282.642, Time=0.00 sec

Best model:  ARIMA(1,0,0)(0,0,0)[24]          
Total fit time: 0.703 seconds
