Performing stepwise search to minimize aic
 ARIMA(2,1,2)(0,0,0)[0] intercept   : AIC=177697.249, Time=0.77 sec
 ARIMA(0,1,0)(0,0,0)[0] intercept   : AIC=190588.454, Time=0.04 sec
 ARIMA(1,1,0)(0,0,0)[0] intercept   : AIC=182613.087, Time=0.13 sec
 ARIMA(0,1,1)(0,0,0)[0] intercept   : AIC=183775.081, Time=0.26 sec
 ARIMA(0,1,0)(0,0,0)[0]             : AIC=190588.454, Time=0.04 sec
 ARIMA(1,1,2)(0,0,0)[0] intercept   : AIC=181973.557, Time=0.54 sec
 ARIMA(2,1,1)(0,0,0)[0] intercept   : AIC=177887.638, Time=1.21 sec
 ARIMA(3,1,2)(0,0,0)[0] intercept   : AIC=177724.025, Time=2.46 sec
 ARIMA(2,1,3)(0,0,0)[0] intercept   : AIC=177662.515, Time=2.57 sec
 ARIMA(1,1,3)(0,0,0)[0] intercept   : AIC=181969.218, Time=1.34 sec
 ARIMA(3,1,3)(0,0,0)[0] intercept   : AIC=177693.184, Time=3.67 sec
 ARIMA(2,1,4)(0,0,0)[0] intercept   : AIC=inf, Time=4.87 sec
 ARIMA(1,1,4)(0,0,0)[0] intercept   : AIC=178773.041, Time=1.50 sec
 ARIMA(3,1,4)(0,0,0)[0] intercept   : AIC=inf, Time=4.87 sec
 ARIMA(2,1,3)(0,0,0)[0]             : AIC=177662.515, Time=2.60 sec

Best model:  ARIMA(2,1,3)(0,0,0)[0] intercept
Total fit time: 26.883 seconds
