Performing stepwise search to minimize aic
 ARIMA(2,1,2)(0,0,0)[0] intercept   : AIC=177699.246, Time=2.11 sec
 ARIMA(0,1,0)(0,0,0)[0] intercept   : AIC=190590.454, Time=0.08 sec
 ARIMA(1,1,0)(0,0,0)[0] intercept   : AIC=182615.088, Time=0.24 sec
 ARIMA(0,1,1)(0,0,0)[0] intercept   : AIC=183777.081, Time=0.53 sec
 ARIMA(0,1,0)(0,0,0)[0]             : AIC=190590.454, Time=0.08 sec
 ARIMA(1,1,2)(0,0,0)[0] intercept   : AIC=181975.557, Time=0.94 sec
 ARIMA(2,1,1)(0,0,0)[0] intercept   : AIC=177889.636, Time=2.63 sec
 ARIMA(3,1,2)(0,0,0)[0] intercept   : AIC=177726.024, Time=4.38 sec
 ARIMA(2,1,3)(0,0,0)[0] intercept   : AIC=177664.513, Time=5.13 sec
 ARIMA(1,1,3)(0,0,0)[0] intercept   : AIC=181971.218, Time=2.50 sec
 ARIMA(3,1,3)(0,0,0)[0] intercept   : AIC=177702.246, Time=6.75 sec
 ARIMA(2,1,4)(0,0,0)[0] intercept   : AIC=inf, Time=7.98 sec
 ARIMA(1,1,4)(0,0,0)[0] intercept   : AIC=178775.038, Time=3.56 sec
 ARIMA(3,1,4)(0,0,0)[0] intercept   : AIC=inf, Time=8.10 sec
 ARIMA(2,1,3)(0,0,0)[0]             : AIC=177664.513, Time=5.15 sec

Best model:  ARIMA(2,1,3)(0,0,0)[0] intercept
Total fit time: 50.154 seconds
