Performing stepwise search to minimize aic
 ARIMA(2,1,2)(0,0,0)[0] intercept   : AIC=343933.269, Time=7.13 sec
 ARIMA(0,1,0)(0,0,0)[0] intercept   : AIC=344046.844, Time=0.24 sec
 ARIMA(1,1,0)(0,0,0)[0] intercept   : AIC=344039.251, Time=0.30 sec
 ARIMA(0,1,1)(0,0,0)[0] intercept   : AIC=344039.911, Time=0.62 sec
 ARIMA(0,1,0)(0,0,0)[0]             : AIC=344046.844, Time=0.24 sec
 ARIMA(1,1,2)(0,0,0)[0] intercept   : AIC=inf, Time=5.45 sec
 ARIMA(2,1,1)(0,0,0)[0] intercept   : AIC=343973.848, Time=4.34 sec
 ARIMA(3,1,2)(0,0,0)[0] intercept   : AIC=338935.221, Time=13.86 sec
 ARIMA(3,1,1)(0,0,0)[0] intercept   : AIC=340220.301, Time=7.84 sec
 ARIMA(4,1,2)(0,0,0)[0] intercept   : AIC=339567.797, Time=19.13 sec
 ARIMA(3,1,3)(0,0,0)[0] intercept   : AIC=339090.010, Time=20.97 sec
 ARIMA(2,1,3)(0,0,0)[0] intercept   : AIC=338942.290, Time=16.33 sec
 ARIMA(4,1,1)(0,0,0)[0] intercept   : AIC=339972.269, Time=10.77 sec
 ARIMA(4,1,3)(0,0,0)[0] intercept   : AIC=inf, Time=22.02 sec
 ARIMA(3,1,2)(0,0,0)[0]             : AIC=338935.221, Time=14.42 sec

Best model:  ARIMA(3,1,2)(0,0,0)[0] intercept
Total fit time: 143.637 seconds
