Performing stepwise search to minimize aic
 ARIMA(2,1,2)(0,0,0)[0] intercept   : AIC=343935.268, Time=15.54 sec
 ARIMA(0,1,0)(0,0,0)[0] intercept   : AIC=344048.844, Time=0.45 sec
 ARIMA(1,1,0)(0,0,0)[0] intercept   : AIC=344041.251, Time=0.57 sec
 ARIMA(0,1,1)(0,0,0)[0] intercept   : AIC=344041.911, Time=1.42 sec
 ARIMA(0,1,0)(0,0,0)[0]             : AIC=344048.844, Time=0.45 sec
 ARIMA(1,1,2)(0,0,0)[0] intercept   : AIC=inf, Time=12.61 sec
 ARIMA(2,1,1)(0,0,0)[0] intercept   : AIC=343975.849, Time=10.36 sec
 ARIMA(3,1,2)(0,0,0)[0] intercept   : AIC=340021.843, Time=29.96 sec
 ARIMA(3,1,1)(0,0,0)[0] intercept   : AIC=340222.279, Time=20.73 sec
 ARIMA(4,1,2)(0,0,0)[0] intercept   : AIC=339895.461, Time=41.40 sec
 ARIMA(4,1,1)(0,0,0)[0] intercept   : AIC=339974.255, Time=26.24 sec
 ARIMA(5,1,2)(0,0,0)[0] intercept   : AIC=339975.795, Time=25.30 sec
 ARIMA(4,1,3)(0,0,0)[0] intercept   : AIC=inf, Time=45.22 sec
 ARIMA(3,1,3)(0,0,0)[0] intercept   : AIC=339095.197, Time=46.45 sec
 ARIMA(2,1,3)(0,0,0)[0] intercept   : AIC=339982.275, Time=33.91 sec
 ARIMA(3,1,4)(0,0,0)[0] intercept   : AIC=inf, Time=44.09 sec
 ARIMA(2,1,4)(0,0,0)[0] intercept   : AIC=340437.782, Time=45.37 sec
 ARIMA(4,1,4)(0,0,0)[0] intercept   : AIC=338941.106, Time=53.20 sec
 ARIMA(5,1,4)(0,0,0)[0] intercept   : AIC=338928.986, Time=56.87 sec
 ARIMA(5,1,3)(0,0,0)[0] intercept   : AIC=inf, Time=53.88 sec
 ARIMA(5,1,5)(0,0,0)[0] intercept   : AIC=338948.145, Time=71.65 sec
 ARIMA(4,1,5)(0,0,0)[0] intercept   : AIC=338951.094, Time=61.76 sec
 ARIMA(5,1,4)(0,0,0)[0]             : AIC=338928.986, Time=57.98 sec

Best model:  ARIMA(5,1,4)(0,0,0)[0] intercept
Total fit time: 755.421 seconds
