Performing stepwise search to minimize bic
 ARIMA(2,1,2)(0,0,0)[0] intercept   : BIC=343976.705, Time=7.01 sec
 ARIMA(0,1,0)(0,0,0)[0] intercept   : BIC=344055.531, Time=0.23 sec
 ARIMA(1,1,0)(0,0,0)[0] intercept   : BIC=344056.626, Time=0.29 sec
 ARIMA(0,1,1)(0,0,0)[0] intercept   : BIC=344057.285, Time=0.61 sec
 ARIMA(0,1,0)(0,0,0)[0]             : BIC=344055.531, Time=0.23 sec
 ARIMA(1,1,2)(0,0,0)[0] intercept   : BIC=inf, Time=5.30 sec
 ARIMA(2,1,1)(0,0,0)[0] intercept   : BIC=344008.598, Time=4.24 sec
 ARIMA(3,1,2)(0,0,0)[0] intercept   : BIC=338987.345, Time=13.52 sec
 ARIMA(3,1,1)(0,0,0)[0] intercept   : BIC=340263.738, Time=7.67 sec
 ARIMA(4,1,2)(0,0,0)[0] intercept   : BIC=339628.609, Time=18.50 sec
 ARIMA(3,1,3)(0,0,0)[0] intercept   : BIC=339150.822, Time=19.90 sec
 ARIMA(2,1,3)(0,0,0)[0] intercept   : BIC=338994.415, Time=15.80 sec
 ARIMA(4,1,1)(0,0,0)[0] intercept   : BIC=340024.393, Time=10.08 sec
 ARIMA(4,1,3)(0,0,0)[0] intercept   : BIC=inf, Time=20.96 sec
 ARIMA(3,1,2)(0,0,0)[0]             : BIC=338987.345, Time=13.54 sec

Best model:  ARIMA(3,1,2)(0,0,0)[0] intercept
Total fit time: 137.918 seconds
