Performing stepwise search to minimize hqic
 ARIMA(2,1,2)(0,0,0)[0] intercept   : HQIC=343951.697, Time=15.63 sec
 ARIMA(0,1,0)(0,0,0)[0] intercept   : HQIC=344054.320, Time=0.45 sec
 ARIMA(1,1,0)(0,0,0)[0] intercept   : HQIC=344049.465, Time=0.56 sec
 ARIMA(0,1,1)(0,0,0)[0] intercept   : HQIC=344050.125, Time=1.34 sec
 ARIMA(0,1,0)(0,0,0)[0]             : HQIC=344054.320, Time=0.45 sec
 ARIMA(1,1,2)(0,0,0)[0] intercept   : HQIC=inf, Time=12.39 sec
 ARIMA(2,1,1)(0,0,0)[0] intercept   : HQIC=343989.540, Time=10.25 sec
 ARIMA(3,1,2)(0,0,0)[0] intercept   : HQIC=340041.010, Time=28.89 sec
 ARIMA(3,1,1)(0,0,0)[0] intercept   : HQIC=340238.708, Time=20.54 sec
 ARIMA(4,1,2)(0,0,0)[0] intercept   : HQIC=339917.366, Time=41.07 sec
 ARIMA(4,1,1)(0,0,0)[0] intercept   : HQIC=339993.422, Time=25.30 sec
 ARIMA(5,1,2)(0,0,0)[0] intercept   : HQIC=340000.438, Time=24.49 sec
 ARIMA(4,1,3)(0,0,0)[0] intercept   : HQIC=inf, Time=44.90 sec
 ARIMA(3,1,3)(0,0,0)[0] intercept   : HQIC=339117.102, Time=46.30 sec
 ARIMA(2,1,3)(0,0,0)[0] intercept   : HQIC=340001.442, Time=33.37 sec
 ARIMA(3,1,4)(0,0,0)[0] intercept   : HQIC=inf, Time=43.46 sec
 ARIMA(2,1,4)(0,0,0)[0] intercept   : HQIC=340459.687, Time=44.75 sec
 ARIMA(4,1,4)(0,0,0)[0] intercept   : HQIC=338968.487, Time=52.52 sec
 ARIMA(5,1,4)(0,0,0)[0] intercept   : HQIC=338959.105, Time=56.34 sec
 ARIMA(5,1,3)(0,0,0)[0] intercept   : HQIC=inf, Time=52.05 sec
 ARIMA(5,1,5)(0,0,0)[0] intercept   : HQIC=338981.003, Time=70.73 sec
 ARIMA(4,1,5)(0,0,0)[0] intercept   : HQIC=338981.214, Time=60.74 sec
 ARIMA(5,1,4)(0,0,0)[0]             : HQIC=338959.105, Time=56.80 sec

Best model:  ARIMA(5,1,4)(0,0,0)[0] intercept
Total fit time: 743.336 seconds
